,image_name,x,y,score
86,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,541,784,0.9410702586174011
87,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,564,761,0.970773458480835
88,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1976,722,0.9093596339225769
89,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,880,651,0.9593963027000427
90,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,886,643,0.9567733407020569
91,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,316,607,0.8358364701271057
92,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,314,600,0.9120877385139465
93,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1337,580,0.15986229479312897
94,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1332,578,0.8203608393669128
95,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,635,523,0.890791654586792
96,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,667,438,0.9711747169494629
97,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,105,371,0.1362929493188858
98,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,90,364,0.9167182445526123
99,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,2046,343,0.13662827014923096
100,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,973,333,0.9358908534049988
101,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1497,330,0.9665279388427734
102,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1611,305,0.9495763778686523
103,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1358,262,0.9652984738349915
104,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,35,157,0.5271331071853638
105,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,879,104,0.9732118248939514
106,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,595,72,0.9428812265396118
107,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1097,67,0.9443835616111755
108,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,619,56,0.9518935680389404
109,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1247,38,0.8648875951766968
110,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1434,21,0.19003751873970032
111,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1241,2012,0.9505135416984558
